cuenta_id,anio,cantidad_movimientos,total_depositos,total_cargos,saldo_neto,primera_fecha,ultima_fecha,movimientos_con_anomalia
2000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
2000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
2000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
2000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
2000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
2000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
2000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
2000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
2000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
2000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
2000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
2000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
2000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
3000101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
3000102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
3000103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
3000104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
3000105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
3000106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
3000107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
3000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
3000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
3000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
3000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
3000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
3000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
3000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
3000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
3000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
3000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
3000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
3000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
3000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
4000101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
4000102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
4000103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
4000104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
4000105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
4000106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
4000107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
4000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
4000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
4000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
4000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
4000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
4000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
4000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
4000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
4000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
4000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
4000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
4000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
4000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
5000101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
5000102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
5000103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
5000104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
5000105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
5000106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
5000107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
5000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
5000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
5000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
5000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
5000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
5000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
5000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
5000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
5000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
5000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
5000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
5000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
5000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
6000101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
6000102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
6000103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
6000104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
6000105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
6000106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
6000107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
6000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
6000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
6000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
6000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
6000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
6000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
6000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
6000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
6000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
6000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
6000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
6000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
6000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
7000101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
7000102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
7000103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
7000104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
7000105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
7000106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
7000107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
7000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
7000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
7000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
7000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
7000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
7000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
7000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
7000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
7000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
7000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
7000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
7000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
7000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
8000101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
8000102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
8000103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
8000104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
8000105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
8000106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
8000107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
8000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
8000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
8000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
8000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
8000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
8000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
8000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
8000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
8000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
8000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
8000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
8000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
8000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
9000101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
9000102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
9000103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
9000104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
9000105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
9000106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
9000107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
9000108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
9000109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
9000110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
9000111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
9000112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
9000113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
9000114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
9000115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
9000116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
9000117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
9000118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
9000119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
9000120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
