id,archivo,linea,clasificacion,motivo,contenido_original
1322,intereses.csv,7,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"108,Jane Smith,12000,100,prestamo"
1323,cuentas_anuales.csv,645,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"107,08-05-2024,compra,,Retiro parcial"
1324,intereses.csv,9,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"138,Steve Rogers,10000,25,-1"
1325,transacciones.csv,134,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"133,21-07-2024,500,invalid"
1326,transacciones.csv,260,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"259,04-05-2024,,credito"
1327,transacciones.csv,136,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"135,02/03/2024,,debito"
1328,transacciones.csv,261,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-5],"260,2024-03-23,3000,desconocido"
1329,intereses.csv,757,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-4],"144,Alice Brown,7000,,prestamo"
1330,intereses.csv,10,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"113,Charlie Green,,35,hipoteca"
1331,intereses.csv,758,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"148,Alice Brown,8000,100,-1"
1332,cuentas_anuales.csv,271,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"108,2024-09-29,deposito,,Ingreso extra"
1333,intereses.csv,759,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"106,Diana Prince,7000,30,-1"
1334,intereses.csv,761,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"106,Charlie Green,,35,hipoteca"
1335,cuentas_anuales.csv,649,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"112,2024/03/15,compra,,Ingreso extra"
1336,transacciones.csv,137,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"136,2024/10/27,0,invalid"
1337,transacciones.csv,263,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"262,02/09/2024,,debito"
1338,cuentas_anuales.csv,396,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"107,15-06-2024,compra,,"
1339,transacciones.csv,138,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-2],"137,17-06-2024,1200,desconocido"
1340,intereses.csv,12,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"102,Alice Brown,12000,45,-1"
1341,transacciones.csv,264,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"263,02-07-2024,3000,invalid"
1342,transacciones.csv,139,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-2],"138,2024-13-01,1000,invalid"
1343,intereses.csv,15,OMITIDO,Edad fuera del rango permitido: 150 (rango permitido 18-99) [hilo=batch-particion-3],"145,Charlie Green,8000,150,ahorro"
1344,transacciones.csv,265,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-5],"264,2024-13-01,1500,invalid"
1345,intereses.csv,763,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"107,Jane Smith,,40,prestamo"
1346,intereses.csv,764,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"143,Bob Johnson,12000,45,-1"
1347,intereses.csv,17,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"117,Steve Rogers,12000,100,ahorro"
1348,intereses.csv,765,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"140,Diana Prince,5000,100,prestamo"
1349,intereses.csv,18,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"128,Diana Prince,7000,100,prestamo"
1350,transacciones.csv,267,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"266,02-11-2024,-200,invalid"
1351,intereses.csv,766,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-4],"114,Bob Johnson,7000,,ahorro"
1352,transacciones.csv,268,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"267,2024/04/06,,invalid"
1353,intereses.csv,19,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"147,Alice Brown,8000,100,hipoteca"
1354,transacciones.csv,147,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"146,01-07-2024,,debito"
1355,cuentas_anuales.csv,409,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"114,2024-03-16,compra,,Retiro parcial"
1356,transacciones.csv,270,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-5],"269,2024/07/27,1200,desconocido"
1357,intereses.csv,20,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"148,John Doe,7000,,prestamo"
1358,transacciones.csv,149,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"148,2024-03-30,1000,invalid"
1359,intereses.csv,21,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"142,Steve Rogers,5000,,-1"
1360,transacciones.csv,271,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-5],"270,2024-13-01,1200,invalid"
1361,transacciones.csv,150,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-2],"149,02/11/2024,3000,desconocido"
1362,intereses.csv,767,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"109,Diana Prince,7000,25,-1"
1363,cuentas_anuales.csv,667,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"113,2024/09/13,retiro,,"
1364,transacciones.csv,151,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-2],"150,2024-13-01,1500,debito"
1365,intereses.csv,769,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"110,Steve Rogers,,25,hipoteca"
1366,intereses.csv,770,OMITIDO,Tipo fuera del catalogo permitido: 'unknown' [hilo=batch-particion-4],"139,Diana Prince,12000,100,unknown"
1367,intereses.csv,771,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"150,Diana Prince,8000,,-1"
1368,transacciones.csv,272,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"271,2024-03-18,,desconocido"
1369,intereses.csv,23,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"103,Jane Smith,8000,30,-1"
1370,intereses.csv,24,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"110,Unknown,5000,35,-1"
1371,transacciones.csv,273,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"272,2024/09/04,3000,invalid"
1372,transacciones.csv,153,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"152,25/10/2024,1500,invalid"
1373,intereses.csv,25,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"111,Diana Prince,10000,,hipoteca"
1374,transacciones.csv,274,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"273,26/04/2024,1000,invalid"
1375,transacciones.csv,156,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-2],"155,22/12/2024,-200,desconocido"
1376,intereses.csv,26,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"136,Charlie Green,8000,100,-1"
1377,intereses.csv,772,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"102,Charlie Green,,30,ahorro"
1378,intereses.csv,774,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"107,Jane Smith,,100,hipoteca"
1379,transacciones.csv,280,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"279,2024-02-24,800,invalid"
1380,intereses.csv,27,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"146,Steve Rogers,,30,ahorro"
1381,transacciones.csv,161,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"160,03/08/2024,1500,invalid"
1382,intereses.csv,775,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"144,Charlie Green,8000,25,-1"
1383,intereses.csv,28,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"134,Charlie Green,8000,150,-1"
1384,intereses.csv,776,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"116,Steve Rogers,,40,-1"
1385,intereses.csv,30,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"107,Alice Brown,,25,prestamo"
1386,transacciones.csv,164,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-2],"163,30-11-2024,3000,desconocido"
1387,transacciones.csv,283,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"282,08/08/2024,,debito"
1388,cuentas_anuales.csv,318,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"119,2024/02/29,compra,,Ingreso mensual"
1389,cuentas_anuales.csv,439,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"118,09/06/2024,retiro,,Ingreso navideño"
1390,transacciones.csv,286,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-5],"285,13/12/2024,1500,desconocido"
1391,transacciones.csv,165,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"164,04-03-2024,3000,invalid"
1392,transacciones.csv,166,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"165,2024-08-30,1000,invalid"
1393,intereses.csv,32,OMITIDO,Tipo fuera del catalogo permitido: 'unknown' [hilo=batch-particion-3],"103,Jane Smith,7000,40,unknown"
1394,intereses.csv,777,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"135,Bob Johnson,,40,hipoteca"
1395,intereses.csv,33,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"110,Jane Smith,8000,100,ahorro"
1396,intereses.csv,778,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"139,Charlie Green,10000,,-1"
1397,intereses.csv,779,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"138,Bob Johnson,8000,,-1"
1398,intereses.csv,34,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"116,Diana Prince,,,prestamo"
1399,transacciones.csv,168,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"167,23/02/2024,,credito"
1400,intereses.csv,781,OMITIDO,Tipo fuera del catalogo permitido: 'unknown' [hilo=batch-particion-4],"123,Jane Smith,8000,40,unknown"
1401,intereses.csv,36,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"141,Unknown,7000,,ahorro"
1402,transacciones.csv,170,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"169,2024/03/05,800,invalid"
1403,transacciones.csv,171,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"170,2024/09/07,1200,invalid"
1404,transacciones.csv,292,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"291,2024-04-17,1000,invalid"
1405,intereses.csv,782,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"127,Jane Smith,8000,100,ahorro"
1406,transacciones.csv,294,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"293,18/10/2024,1500,invalid"
1407,intereses.csv,783,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"145,Bob Johnson,12000,25,-1"
1408,cuentas_anuales.csv,707,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"103,13-09-2024,compra,,"
1409,intereses.csv,784,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"128,Jane Smith,,45,hipoteca"
1410,transacciones.csv,295,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-5],"294,2024/07/01,700,desconocido"
1411,intereses.csv,37,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"120,John Doe,,,-1"
1412,transacciones.csv,296,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"295,2024-06-12,,invalid"
1413,transacciones.csv,172,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"171,14-05-2024,,debito"
1414,intereses.csv,785,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-4],"133,John Doe,12000,,prestamo"
1415,intereses.csv,39,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"140,John Doe,,45,-1"
1416,transacciones.csv,175,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"174,2024-10-26,,invalid"
1417,intereses.csv,786,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"145,Jane Smith,7000,100,-1"
1418,intereses.csv,40,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"107,Diana Prince,,25,ahorro"
1419,transacciones.csv,176,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"175,24-09-2024,1500,invalid"
1420,transacciones.csv,297,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"296,09/12/2024,,debito"
1421,transacciones.csv,298,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-5],"297,2024-08-19,1000,desconocido"
1422,intereses.csv,43,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"150,Charlie Green,,40,hipoteca"
1423,transacciones.csv,299,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-5],"298,2024-13-01,700,debito"
1424,intereses.csv,787,OMITIDO,Tipo fuera del catalogo permitido: 'unknown' [hilo=batch-particion-4],"145,Charlie Green,10000,30,unknown"
1425,intereses.csv,44,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"137,Steve Rogers,,35,prestamo"
1426,transacciones.csv,300,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"299,2024-10-10,700,invalid"
1427,intereses.csv,788,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"124,Steve Rogers,10000,100,hipoteca"
1428,transacciones.csv,177,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"176,2024-06-07,1000,invalid"
1429,intereses.csv,45,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"126,Jane Smith,5000,25,-1"
1430,transacciones.csv,301,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"300,2024-03-28,1500,invalid"
1431,intereses.csv,789,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"140,Charlie Green,,35,hipoteca"
1432,transacciones.csv,181,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-2],"180,28/05/2024,1000,desconocido"
1433,cuentas_anuales.csv,472,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"116,2024/03/10,retiro,,Ingreso mensual"
1434,intereses.csv,790,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"114,Bob Johnson,,,prestamo"
1435,intereses.csv,791,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-4],"101,Bob Johnson,8000,,ahorro"
1436,cuentas_anuales.csv,228,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"107,21-03-2024,deposito,,Compra en tienda"
1437,transacciones.csv,303,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"302,16/10/2024,,debito"
1438,intereses.csv,48,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"104,Steve Rogers,8000,45,-1"
1439,cuentas_anuales.csv,363,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"105,17/12/2024,retiro,,Retiro parcial"
1440,transacciones.csv,305,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"304,03-03-2024,1000,invalid"
1441,transacciones.csv,182,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"181,2024/09/08,800,invalid"
1442,intereses.csv,49,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"143,Charlie Green,,150,hipoteca"
1443,transacciones.csv,186,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-2],"185,2024-13-01,1000,debito"
1444,transacciones.csv,306,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"305,18-10-2024,700,invalid"
1445,intereses.csv,50,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"133,Steve Rogers,,100,-1"
1446,intereses.csv,792,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"128,Jane Smith,8000,25,-1"
1447,intereses.csv,51,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"121,Alice Brown,12000,100,-1"
1448,intereses.csv,794,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-4],"111,Jane Smith,7000,,ahorro"
1449,cuentas_anuales.csv,371,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"104,2024-07-17,compra,,Retiro parcial"
1450,intereses.csv,795,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"145,Steve Rogers,12000,100,ahorro"
1451,intereses.csv,796,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"114,Steve Rogers,5000,,-1"
1452,transacciones.csv,187,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"186,2024-01-04,3000,invalid"
1453,transacciones.csv,307,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"306,2024-07-08,,invalid"
1454,cuentas_anuales.csv,491,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"104,31/05/2024,retiro,,"
1455,intereses.csv,53,OMITIDO,Edad fuera del rango permitido: 150 (rango permitido 18-99) [hilo=batch-particion-3],"104,Jane Smith,12000,150,ahorro"
1456,transacciones.csv,190,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"189,2024-01-17,800,invalid"
1457,transacciones.csv,308,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"307,02/01/2024,,credito"
1458,intereses.csv,54,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"127,John Doe,5000,100,hipoteca"
1459,cuentas_anuales.csv,246,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"107,08/12/2024,compra,,Retiro parcial"
1460,transacciones.csv,309,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-5],"308,2024-13-01,,invalid"
1461,intereses.csv,797,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"119,John Doe,12000,35,-1"
1462,intereses.csv,56,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"123,Diana Prince,7000,,hipoteca"
1463,cuentas_anuales.csv,374,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"111,04/05/2024,deposito,,Ingreso navideño"
1464,transacciones.csv,311,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"310,14/12/2024,1000,invalid"
1465,intereses.csv,798,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"101,Bob Johnson,12000,100,hipoteca"
1466,intereses.csv,799,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"107,Unknown,10000,30,-1"
1467,cuentas_anuales.csv,249,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"106,19/10/2024,deposito,,"
1468,transacciones.csv,192,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"191,26-07-2024,,invalid"
1469,intereses.csv,57,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"138,Alice Brown,5000,,-1"
1470,intereses.csv,800,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"105,Steve Rogers,,35,hipoteca"
1471,transacciones.csv,194,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"193,2024-01-16,1500,invalid"
1472,transacciones.csv,312,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-5],"311,2024-13-01,1000,credito"
1473,intereses.csv,58,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"121,Steve Rogers,8000,,hipoteca"
1474,intereses.csv,801,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"104,John Doe,,45,ahorro"
1475,transacciones.csv,313,OMITIDO,Tipo fuera del catalogo permitido: 'desconocido' [hilo=batch-particion-5],"312,24/06/2024,1200,desconocido"
1476,transacciones.csv,314,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"313,16/10/2024,-200,invalid"
1477,intereses.csv,59,OMITIDO,Edad fuera del rango permitido: 150 (rango permitido 18-99) [hilo=batch-particion-3],"107,Charlie Green,10000,150,hipoteca"
1478,transacciones.csv,315,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"314,22/03/2024,-200,invalid"
1479,intereses.csv,60,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"119,John Doe,10000,100,-1"
1480,transacciones.csv,200,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"199,01/06/2024,700,invalid"
1481,transacciones.csv,316,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-5],"315,2024-13-01,1200,debito"
1482,intereses.csv,802,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-4],"122,Bob Johnson,10000,,ahorro"
1483,transacciones.csv,201,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"200,2024/10/13,,invalid"
1484,intereses.csv,803,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"128,Steve Rogers,8000,100,ahorro"
1485,intereses.csv,804,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"117,Jane Smith,,25,-1"
1486,intereses.csv,62,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"132,Jane Smith,10000,100,hipoteca"
1487,cuentas_anuales.csv,878,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"101,27-05-2024,deposito,,Ingreso navideño"
1488,intereses.csv,805,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"135,Alice Brown,8000,100,ahorro"
1489,intereses.csv,63,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"137,Bob Johnson,8000,,ahorro"
1490,transacciones.csv,317,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"316,2024/04/01,,credito"
1491,intereses.csv,806,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-4],"149,Alice Brown,,35,ahorro"
1492,transacciones.csv,203,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"202,09-01-2024,,debito"
1493,intereses.csv,64,OMITIDO,Saldo vacio o no numerico: '' [hilo=batch-particion-3],"139,Bob Johnson,,35,prestamo"
1494,transacciones.csv,318,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"317,19-01-2024,800,invalid"
1495,cuentas_anuales.csv,6,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"120,2024/04/11,compra,,Ingreso mensual"
1496,transacciones.csv,204,OMITIDO,Fecha ilegible o inexistente: 2024-13-01 [hilo=batch-particion-2],"203,2024-13-01,1200,debito"
1497,intereses.csv,65,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"102,Alice Brown,8000,,ahorro"
